Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
10/03/2004;00.00.00;2,6;1182;236;8,7;1126;227;1864;98;1864;886;4,5;45,1;0,1
10/03/2004;01.00.00;5,6;1443;189;19,5;1120;429;1660;143;2063;1115;11,3;49,0;0,1
10/03/2004;02.00.00;15,7;1408;119;129,7;995;1780;1865;153;2071;907;50,0;47,6;0,1
10/03/2004;03.00.00;4,5;1270;217;15,0;969;383;1652;154;2168;1004;6,4;53,4;0,1
10/03/2004;04.00.00;1,4;1101;278;5,5;1167;132;1810;57;1756;864;12,0;48,4;0,1
10/03/2004;05.00.00;4,9;1453;392;13,0;1402;464;1785;177;1952;1023;14,8;49,7;0,145
10/03/2004;06.00.00;16,7;1465;396;100,1;1395;1567;1690;175;2063;989;51,7;49,4;0,1
10/03/2004;07.00.00;4,2;1335;382;16,6;1276;431;1818;200;2077;1152;18,3;47,3;0,1
10/03/2004;08.00.00;7,9;1568;391;27,8;1611;642;1615;200;2137;1158;19,3;50,1;0,1
10/03/2004;09.00.00;19,7;1634;367;98,4;1417;2230;1383;200;2147;1042;53,9;50,3;0,1
10/03/2004;10.00.00;7,5;1602;185;25,7;1083;598;1679;200;2098;1119;26,8;53,8;0,1
10/03/2004;11.00.00;3,1;1289;205;11,3;1113;224;1699;101;2043;924;25,1;46,5;0,1
10/03/2004;12.00.00;7,0;1663;202;27,4;998;571;1497;200;2127;1215;27,6;47,5;0,1
10/03/2004;13.00.00;6,4;1462;122;21,7;1094;548;1521;200;1894;1217;24,4;43,2;0,117
10/03/2004;14.00.00;5,9;1547;311;20,3;1295;446;1760;195;1930;982;21,1;43,6;0,1
10/03/2004;15.00.00;1,4;1088;268;2,4;1117;144;1995;44;1623;878;29,5;41,3;0,1
10/03/2004;16.00.00;5,0;1360;83;15,4;854;349;1717;97;1898;934;23,8;49,1;0,1
10/03/2004;17.00.00;5,5;1508;224;17,6;1244;578;1623;200;2008;1221;15,7;55,9;0,1
10/03/2004;18.00.00;3,8;1430;390;13,7;1337;334;1772;108;1795;985;12,4;53,5;0,1
10/03/2004;19.00.00;7,9;1647;390;28,8;1387;598;1650;200;2053;1110;10,3;54,7;0,1
10/03/2004;20.00.00;2,8;1197;187;11,5;1052;217;1700;69;1646;880;5,4;57,2;0,1
10/03/2004;21.00.00;5,0;1416;147;18,3;1042;419;1653;176;2039;1255;8,1;63,8;0,1
10/03/2004;22.00.00;5,2;1442;258;20,2;1281;419;1568;197;2172;946;3,5;69,7;0,1
10/03/2004;23.00.00;2,3;1185;384;7,0;1314;145;1703;40;1614;891;3,9;64,9;0,1
11/03/2004;00.00.00;2,9;1226;102;9,2;995;232;1810;92;1709;1021;2,9;66,6;0,1
11/03/2004;01.00.00;1,8;1198;395;11,0;1413;171;1867;65;1682;1094;6,9;64,9;0,1
11/03/2004;02.00.00;5,0;1363;71;20,0;990;428;1580;191;2231;1173;12,0;62,8;0,1
11/03/2004;03.00.00;6,0;1467;160;22,4;1125;518;1829;200;2065;983;6,8;73,6;0,1
11/03/2004;04.00.00;7,3;1595;102;24,6;838;572;1430;200;2077;1295;13,9;55,7;0,1
11/03/2004;05.00.00;2,6;1189;96;10,6;856;167;1805;37;1667;980;12,0;41,6;0,1
11/03/2004;06.00.00;2,0;1200;366;5,7;1440;151;1917;98;1815;908;13,6;53,9;0,122
11/03/2004;07.00.00;7,4;1649;343;26,6;1311;616;1583;200;2096;1142;19,7;45,6;0,1
11/03/2004;08.00.00;7,7;1734;144;25,5;1046;557;1543;200;2121;1104;16,4;64,4;0,1
11/03/2004;09.00.00;2,9;1338;65;10,6;801;120;1908;50;1676;983;16,9;43,0;0,1
11/03/2004;10.00.00;15,8;1163;192;93,7;1144;1632;1868;57;1646;845;48,5;47,5;0,1
11/03/2004;11.00.00;0,8;980;136;2,6;1045;86;1938;2;1469;873;24,0;44,5;0,1
