holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
None,283.26,0.0,0.0,80,Snow,sky is clear,2012-10-02 09:00:00,5360
None,276.36,0.0,0.0,95,Clouds,overcast clouds,2012-10-02 10:00:00,3294
None,281.29,0.0,0.0,86,Snow,few clouds,2012-10-02 11:00:00,3130
None,283.1,0.1948,0.0,28,Clear,overcast clouds,2012-10-02 12:00:00,3095
None,303.23,0.0,0.0,45,Clear,sky is clear,2012-10-02 13:00:00,3724
None,262.26,0.0,0.0,61,Clear,light snow,2012-10-02 14:00:00,3044
None,261.8,0.0,0.0,49,Clear,heavy intensity rain,2012-10-02 15:00:00,3638
None,253.15,0.0,0.0,45,Clear,mist,2012-10-02 16:00:00,7169
None,286.2,0.0,0.0,85,Drizzle,sky is clear,2012-10-02 17:00:00,5466
None,280.2,0.0,0.0,85,Clouds,scattered clouds,2012-10-02 18:00:00,6238
None,256.12,0.0,0.0,85,Clear,broken clouds,2012-10-02 19:00:00,1530
None,270.05,0.0,0.0,89,Mist,sky is clear,2012-10-02 20:00:00,2682
None,259.83,0.0,0.0,77,Rain,broken clouds,2012-10-02 21:00:00,1287
None,268.23,0.0,0.0,31,Clear,light rain,2012-10-02 22:00:00,2596
None,302.32,0.0506,0.0,44,Clouds,light rain,2012-10-02 23:00:00,2323
None,287.58,0.0,0.0,79,Snow,few clouds,2012-10-03 00:00:00,743
None,250.42,0.0,0.0,27,Mist,mist,2012-10-03 01:00:00,210
Thanksgiving Day,263.89,0.0,0.0,86,Rain,scattered clouds,2012-10-03 02:00:00,741
None,250.57,0.0,0.0,75,Clear,light rain,2012-10-03 03:00:00,388
None,289.32,0.0,0.0,37,Clear,light rain,2012-10-03 04:00:00,423
None,275.82,0.0,0.0,95,Mist,heavy intensity rain,2012-10-03 05:00:00,571
None,304.67,0.0,0.0,35,Rain,sky is clear,2012-10-03 06:00:00,2637
None,290.35,0.0,0.0237,47,Rain,heavy intensity rain,2012-10-03 07:00:00,6933
None,278.49,0.0,0.0,22,Clear,overcast clouds,2012-10-03 08:00:00,5715
None,294.26,0.0,0.0,74,Drizzle,heavy intensity rain,2012-10-03 09:00:00,5455
None,288.76,0.0,0.0,92,Clouds,light snow,2012-10-03 10:00:00,2276
None,263.41,0.0,0.0,95,Clouds,overcast clouds,2012-10-03 11:00:00,3184
None,279.16,0.0,0.0,38,Snow,few clouds,2012-10-03 12:00:00,2459
None,280.58,0.0,0.0,68,Clouds,light rain,2012-10-03 13:00:00,3337
None,274.82,0.0,0.0,4,Clear,mist,2012-10-03 14:00:00,2021
None,259.86,0.1956,0.0,75,Clear,overcast clouds,2012-10-03 15:00:00,2252
