Appliances,lights,T_out,RH_out,Press_mm_hg,Windspeed,Visibility,Tdewpoint,rv1,rv2
142.8,0,6.49,39.93,745.88,13.0,6.32,3.48,6.216,42.501
127.5,3,8.24,54.43,729.63,13.69,44.35,-1.6,32.2956,47.1209
120.2,3,6.54,22.54,734.34,3.57,14.23,1.72,37.3239,40.3433
167.4,3,4.35,49.44,729.39,9.79,33.97,0.79,37.2097,6.9688
176.5,4,1.82,80.3,733.95,1.04,25.02,-2.03,36.2747,0.455
167.8,3,5.02,24.56,743.92,11.71,20.99,-3.57,21.1987,40.6658
154.8,1,3.17,48.13,741.41,9.35,51.58,-6.26,44.0288,1.626
133.1,1,7.21,69.48,732.66,9.92,23.47,4.91,30.269,3.0344
153.7,0,3.24,85.13,737.26,0.17,22.24,-1.48,34.7448,7.9721
161.5,4,3.91,72.71,738.85,0.36,5.37,-2.58,35.6559,41.1501
143.8,0,2.29,44.24,743.99,8.66,48.0,-6.4,26.683,6.2117
134.7,0,6.66,23.04,732.21,0.7,43.16,-0.97,11.5914,10.2697
127.0,4,9.14,82.84,742.1,6.66,21.71,0.79,1.2919,20.6268
123.9,1,7.71,50.52,734.25,1.47,36.73,2.24,27.5217,12.6437
142.4,3,5.56,91.97,729.75,2.77,10.37,-0.6,36.8578,0.964
144.4,2,7.05,38.56,731.75,0.72,41.09,3.53,43.859,6.9417
148.5,2,5.17,28.91,737.89,4.42,23.85,0.89,23.3994,2.4908
172.1,1,4.87,38.95,730.45,2.56,51.81,0.29,22.4287,25.6838
151.7,4,6.93,65.82,736.28,12.76,46.46,2.47,6.0813,14.3198
98.2,3,8.84,43.38,736.66,5.17,21.51,0.55,11.3576,15.808
119.2,2,9.59,40.79,738.01,3.07,6.14,5.31,28.4957,17.4782
128.8,2,6.95,42.17,741.2,10.08,42.04,1.52,11.2182,5.4028
121.8,2,9.49,32.15,739.02,12.53,1.94,7.25,7.86,2.424
105.2,4,9.17,86.69,733.57,11.92,20.27,6.58,3.1137,9.6245
77.5,1,10.75,89.06,742.77,9.72,15.97,6.36,15.3283,18.1621
89.5,2,10.17,83.89,742.2,8.15,44.75,2.53,25.4947,39.5696
78.2,3,10.56,60.33,744.41,3.71,64.98,7.95,25.9273,13.3755
114.7,2,6.58,78.64,742.51,9.06,34.88,3.58,9.5904,42.2858
100.1,1,11.57,62.74,731.72,3.48,17.64,1.72,4.5538,3.0927
88.3,1,10.49,85.57,732.35,4.08,51.11,6.66,0.1432,33.3237
75.5,3,12.11,84.88,740.09,1.63,29.49,3.72,20.403,49.8603
96.6,1,11.15,24.32,733.27,10.52,44.85,8.1,2.8418,8.2483
73.3,4,16.39,94.02,740.2,1.04,38.16,12.12,16.6661,28.0179
108.2,0,11.48,76.3,737.58,6.21,22.87,7.74,46.7972,40.7471
72.0,3,11.89,92.74,733.8,9.5,26.23,7.54,31.8341,9.2495
75.6,1,13.49,89.38,741.54,6.66,41.08,4.73,41.8873,49.4804
224.1,4,13.8,61.37,743.79,9.82,41.16,9.29,10.4697,41.9485
243.1,4,12.66,22.18,731.56,8.77,3.24,6.57,1.5616,39.3435
220.3,2,17.12,77.38,738.67,10.64,31.55,14.84,5.0568,28.8547
210.1,2,15.87,30.2,742.27,8.39,43.77,12.21,13.525,18.8554
208.7,4,17.52,30.38,742.64,5.42,60.89,13.22,6.4308,14.8104
198.7,3,18.75,42.65,737.24,11.42,54.85,12.68,3.4941,40.2244
234.2,10,13.17,67.65,742.91,13.05,48.42,10.23,49.4231,16.6957
204.5,36,18.55,91.59,743.08,8.44,49.94,15.12,10.6036,4.8193
197.7,24,18.76,30.93,741.16,5.71,15.75,11.89,36.2495,13.1507
218.1,65,16.2,74.59,742.18,0.13,63.35,10.23,2.6422,14.7732
227.4,63,13.93,49.05,732.46,9.47,12.8,9.4,42.4999,39.8323
207.9,47,16.59,77.38,734.26,1.78,29.82,13.92,36.594,4.6683
238.6,31,22.76,37.8,731.9,5.85,36.68,18.99,6.7378,47.2775
200.0,57,18.82,67.21,741.79,12.33,20.66,14.17,28.9521,32.4829
183.8,57,17.72,54.88,729.19,3.26,25.17,12.49,29.543,38.4764
215.3,49,19.2,91.15,734.03,2.78,38.5,10.98,15.0948,44.22
202.8,47,19.4,43.56,743.01,8.48,31.11,11.87,12.4669,32.1684
215.6,47,19.67,41.26,734.92,11.54,14.0,11.49,4.2328,40.1382
237.0,51,21.71,69.49,739.3,1.95,56.67,12.1,41.4801,42.8179
245.0,4,23.19,23.8,732.94,10.27,54.73,20.02,30.5581,32.0109
230.1,66,20.79,42.27,731.05,0.29,40.6,18.61,23.4529,42.7996
215.4,54,22.02,22.06,731.55,5.83,43.51,13.03,29.6961,3.1889
220.3,62,21.54,27.44,732.36,12.29,25.18,14.82,28.7559,11.9134
237.7,60,19.47,45.37,734.65,3.98,36.93,17.29,5.6902,16.0805
127.1,69,21.71,21.43,732.81,7.59,34.58,16.18,37.6924,48.8683
148.5,55,22.98,73.36,743.65,10.42,30.1,20.48,0.2648,9.026
137.0,1,24.77,62.75,729.96,5.1,50.71,16.07,29.7206,2.7911
105.6,48,20.91,31.36,734.96,6.61,45.82,15.9,6.9493,11.6177
170.3,5,26.3,74.42,736.62,6.08,35.6,20.62,37.6605,22.9167
158.8,16,24.32,48.35,734.08,5.33,21.13,17.78,1.8495,1.2621
117.5,49,24.2,81.03,733.59,1.3,53.82,20.8,17.6241,40.2952
138.6,34,25.89,79.75,738.69,8.63,12.15,23.24,29.1262,40.66
152.3,34,24.84,66.09,740.08,5.73,33.97,15.17,48.3738,4.6993
135.6,13,24.55,32.36,730.4,2.74,57.69,22.37,25.9603,2.5603
130.7,64,21.77,63.16,745.23,12.2,38.52,18.91,5.0845,20.4221
128.4,27,23.5,31.83,736.63,6.3,18.79,15.26,27.204,25.502
148.4,61,24.49,50.61,734.83,4.87,5.08,18.07,47.8818,1.748
154.7,5,27.07,47.88,730.49,13.08,62.95,17.21,0.3505,41.324
160.2,62,24.51,24.97,745.32,12.18,58.15,18.82,5.6477,1.5067
124.8,47,26.24,64.69,738.3,6.23,15.68,18.48,10.1312,1.9112
101.3,5,24.39,78.75,731.01,10.48,22.65,19.15,37.3428,1.2242
124.5,20,24.01,48.12,732.07,13.82,47.1,21.37,13.0967,33.623
138.7,66,23.85,27.2,737.92,2.21,6.36,14.08,45.474,18.3617
127.1,45,22.15,41.98,744.72,11.61,10.08,18.28,14.0412,18.7995
104.2,27,22.61,90.91,743.9,11.16,42.15,18.96,36.4992,30.2202
118.5,66,22.64,82.99,731.28,13.79,65.38,17.29,16.1563,20.4436
147.2,22,27.19,73.13,732.58,2.36,29.15,18.11,23.8892,47.9039
115.6,17,23.43,24.22,740.58,4.23,40.47,17.05,8.5352,49.2758
121.4,64,21.57,66.36,734.38,4.87,12.12,16.39,5.8173,15.1684
139.7,44,24.5,81.22,730.29,10.63,22.32,19.87,40.8784,16.1372
134.7,53,25.94,31.95,741.45,6.0,7.53,18.2,47.6449,47.3856
112.2,8,22.57,58.72,740.97,6.09,38.62,15.59,0.0558,30.4125
104.9,67,23.11,37.74,740.36,11.04,7.98,17.79,1.7065,11.0264
120.7,55,22.73,51.54,745.6,13.74,6.74,18.48,6.481,4.9751
109.6,44,20.75,86.83,730.72,8.76,6.12,15.17,8.6039,9.95
83.8,44,21.04,61.83,735.44,10.46,8.47,13.36,19.6662,13.5236
84.7,27,20.73,44.19,743.53,8.38,4.12,13.1,29.7836,5.612
93.0,41,19.91,89.84,736.84,10.97,60.29,16.35,9.2153,15.6675
105.3,29,21.57,73.43,729.01,11.54,44.97,13.12,6.3868,3.2619
110.3,27,22.21,21.64,732.94,6.23,2.61,15.59,7.4496,36.5091
92.7,39,18.45,45.59,735.2,7.54,53.57,9.22,5.0745,12.8599
95.4,18,19.14,51.92,743.59,2.37,47.41,13.6,24.4644,1.7231
98.0,25,21.14,76.07,730.57,7.09,20.33,13.32,17.2498,29.819
98.9,10,20.43,39.07,737.91,1.97,48.74,16.32,30.7559,33.2266
91.1,32,17.52,88.22,733.03,12.94,62.09,9.17,40.0981,27.4753
125.2,9,20.44,41.8,742.53,10.11,65.62,17.69,22.3019,8.0823
87.9,52,18.81,53.28,734.66,0.61,46.24,12.08,4.0335,29.9505
83.5,60,20.2,72.05,730.9,8.38,55.82,13.73,7.9054,1.8273
83.1,20,17.67,75.47,735.93,13.15,46.36,12.26,42.3138,48.9121
102.3,61,17.69,63.23,739.42,4.39,9.7,10.09,43.1105,33.4768
73.1,43,18.03,56.41,742.52,9.87,21.61,14.27,30.2693,47.5029
47.8,56,18.73,20.62,742.61,10.18,58.28,15.25,15.5033,11.8099
293.4,22,9.82,38.11,737.47,5.65,47.29,0.24,9.836,15.2932
304.4,19,11.3,33.45,733.95,8.22,37.51,3.62,16.553,3.5663
250.2,11,15.1,26.13,736.24,2.51,55.58,9.21,0.7699,40.0294
248.9,53,16.93,88.87,729.03,2.64,10.13,10.21,30.1501,48.7914
289.1,62,13.65,48.6,731.39,8.74,7.89,7.68,0.4456,43.2257
251.1,25,14.24,62.32,743.37,9.7,15.9,5.46,45.9539,31.5868
296.4,15,10.83,85.3,730.26,1.41,46.48,6.39,14.6983,25.9607
274.7,51,13.95,65.19,745.27,4.26,45.86,4.61,24.1714,21.775
259.8,44,11.11,30.87,744.8,0.93,39.6,6.75,32.2157,39.5159
336.7,47,8.31,54.35,738.67,11.43,9.64,2.15,26.2327,22.703
267.5,62,10.92,90.79,742.84,3.14,40.04,5.79,31.276,3.6033
296.3,23,11.07,65.49,733.46,6.84,52.02,2.35,36.3025,38.6888
314.8,8,7.13,87.31,735.89,13.14,13.44,3.51,12.2748,48.4084
304.2,30,8.7,79.97,732.19,10.56,52.04,0.27,9.6576,41.9472
315.0,56,11.08,73.67,745.06,6.36,14.3,2.73,22.8932,20.9588
269.3,30,11.39,33.33,732.94,10.69,31.12,8.44,37.637,29.1573
326.0,30,7.15,74.17,733.74,8.63,61.56,1.07,15.7054,23.295
311.0,51,6.65,21.73,738.12,12.93,46.23,1.29,7.0297,5.9963
332.0,5,5.26,45.42,730.92,12.13,14.82,-1.27,19.4979,19.1439
305.7,2,10.23,49.09,733.4,10.87,8.99,7.52,7.7526,27.8041
326.1,66,7.8,28.15,730.39,9.92,58.65,1.58,26.9539,49.0326
330.9,5,7.01,43.27,736.69,5.31,62.03,-0.07,42.2165,44.1362
298.0,3,5.2,83.27,734.14,0.43,21.86,-0.21,38.8742,1.0157
294.7,41,7.52,86.27,740.01,7.34,49.64,3.15,10.1215,45.9859
320.9,29,6.06,62.84,732.48,11.58,45.07,-1.92,34.6655,47.1169
312.4,35,10.68,55.8,743.73,4.33,48.02,8.63,31.5921,32.7947
339.5,51,4.65,69.83,732.41,8.85,37.73,-3.61,12.8697,35.7597
294.1,1,7.37,39.44,733.98,2.23,1.77,-1.74,33.5144,32.5565
334.0,43,3.87,61.94,738.81,4.43,22.36,-3.34,41.56,7.7861
300.9,20,6.76,41.49,733.99,7.09,52.36,0.97,32.5538,39.9383
152.6,11,6.02,77.14,729.01,12.18,39.32,-1.88,9.8192,48.1495
190.0,30,5.39,36.1,742.15,1.85,34.56,-4.11,29.0883,25.5395
209.5,67,3.08,56.86,739.74,6.01,45.25,-3.87,9.5046,32.9406
197.7,40,4.02,83.78,740.03,4.37,31.86,-2.19,8.3577,46.3458
190.5,24,6.17,36.25,740.92,0.72,36.58,-2.51,20.4954,5.9255
182.4,18,5.21,26.09,732.02,5.21,54.11,0.66,16.9128,23.9117
135.5,2,7.3,92.69,733.69,13.63,21.2,4.12,49.7567,14.9767
161.4,3,7.05,44.36,740.39,4.68,60.72,4.54,28.4005,30.8298
153.4,0,5.61,20.59,745.46,2.16,47.9,-1.67,39.3131,0.7718
144.2,3,7.43,61.6,729.76,4.48,10.11,-2.39,37.8708,26.9847
175.8,0,4.41,81.54,743.7,13.29,63.69,-0.13,10.824,18.8862
146.4,2,7.31,44.45,738.31,2.91,40.61,-1.41,34.4688,44.1831
156.3,3,6.01,73.29,735.08,9.9,2.37,1.61,9.9414,49.7707
176.8,4,6.28,67.32,733.89,2.01,21.02,3.27,45.6053,11.9743
187.3,4,2.31,33.87,744.62,10.24,47.91,-0.75,27.1419,39.5425
197.6,0,3.23,65.2,745.79,11.0,35.43,-3.26,21.3148,45.7138
187.4,4,3.46,45.85,744.94,5.39,45.48,-0.41,47.2894,10.2365
179.7,1,3.95,55.71,739.62,11.9,51.25,-2.33,39.0329,43.9648
154.6,3,5.71,77.38,741.04,5.74,64.4,-1.04,34.6935,24.2162
166.7,3,8.2,27.43,732.01,3.23,12.64,-0.12,43.032,49.9393
206.6,2,3.08,29.34,742.08,9.82,41.39,-5.79,12.8231,11.7601
121.3,2,8.65,40.79,732.44,12.63,21.53,2.8,46.3166,7.8854
176.1,4,5.55,44.37,734.17,6.78,17.21,3.22,33.0981,18.1499
162.3,0,7.51,33.58,743.31,10.75,55.83,1.42,30.3529,25.2554
165.0,3,6.25,29.69,732.19,4.37,42.19,2.88,11.5885,39.247
151.8,0,8.86,88.87,732.9,5.06,16.59,6.55,30.578,6.8268
132.9,3,7.89,46.42,736.09,2.56,11.65,1.72,35.4037,29.4775
162.3,0,8.49,82.65,731.43,12.41,48.76,0.05,46.4521,11.037
144.1,0,7.98,43.41,730.03,2.08,9.19,1.92,32.5729,1.7496
112.6,2,10.25,67.93,740.91,4.98,14.74,7.77,3.6226,7.2971
161.5,1,7.66,48.99,737.57,6.28,4.43,3.72,41.2555,36.7661
107.0,4,12.87,37.71,730.06,6.41,56.07,5.0,48.9292,47.4019
138.4,4,9.01,87.02,739.17,13.52,58.74,1.23,19.0393,25.7321
125.1,0,11.88,86.49,731.93,6.49,59.0,2.17,9.6385,14.9248
145.2,0,9.13,57.31,741.12,6.08,3.35,4.51,42.1037,29.183
115.7,0,12.72,75.63,742.94,10.93,15.19,9.27,11.4004,7.0652
131.3,1,12.26,34.18,731.56,7.8,45.58,4.47,46.9601,36.1942
117.0,4,12.49,38.0,740.33,10.45,63.9,7.51,17.8859,6.2844
101.0,4,14.34,23.17,744.3,6.06,53.86,8.88,18.2677,18.7271
106.3,4,10.52,83.32,740.42,8.11,57.44,2.45,9.184,14.9154
127.1,1,13.46,61.6,745.37,5.16,4.49,10.05,30.7404,48.0255
114.7,0,13.59,55.31,732.77,3.38,20.54,5.25,11.3164,17.4833
296.0,1,12.34,91.59,729.08,13.91,58.02,9.58,22.8015,27.8059
240.8,1,17.46,88.16,740.63,6.52,5.89,8.5,42.7807,19.9122
246.9,2,16.5,94.38,743.08,10.37,32.97,12.9,17.7581,2.1028
222.8,0,16.79,20.29,733.09,4.72,31.76,10.66,19.8651,28.2155
252.2,3,14.72,89.81,744.91,6.62,26.8,11.85,17.9095,11.3669
239.2,0,14.99,66.03,732.54,6.51,11.21,8.35,28.6241,6.5036
240.6,1,20.77,74.17,734.4,12.5,32.14,18.26,19.9388,6.3164
247.6,60,17.82,85.22,732.0,13.34,55.0,11.92,5.8722,43.0846
239.8,7,16.37,78.0,735.21,11.67,28.94,6.83,27.7647,14.0228
236.6,40,20.64,64.76,741.43,4.39,3.4,15.31,2.9389,49.9325
254.1,1,12.01,50.82,739.73,7.77,38.98,8.32,30.3248,9.2693
254.1,42,14.19,87.63,743.31,12.49,43.84,11.32,12.2298,31.622
226.0,64,21.5,93.71,736.18,7.83,16.66,17.46,32.3645,45.2383
246.7,64,15.19,40.37,729.97,13.41,36.63,6.49,46.9805,2.8336
237.5,49,18.7,39.58,733.65,7.28,65.66,10.54,17.0571,32.4732
274.2,5,22.54,27.03,735.99,5.03,31.63,17.31,6.0362,11.9451
252.3,6,20.04,27.62,742.38,10.1,52.69,16.2,27.0031,30.5264
230.0,34,20.52,38.39,741.27,9.31,13.18,11.92,41.9071,30.4715
343.9,45,27.78,38.52,741.76,13.8,1.69,22.35,43.4814,46.9401
279.3,17,20.93,85.63,742.49,3.63,46.96,11.21,45.4818,26.1274
236.0,23,18.68,72.34,737.43,8.46,54.45,9.59,34.2138,27.2595
240.9,65,19.1,60.38,730.29,8.01,6.88,13.08,29.191,0.3578
282.6,53,25.2,90.86,732.31,8.62,42.79,21.22,25.9446,1.1978
225.3,59,18.65,48.0,730.98,2.96,19.46,9.26,10.7675,30.5454
129.9,8,19.98,60.06,740.95,4.14,1.17,17.45,26.3982,6.5073
198.8,31,28.14,91.27,743.84,1.12,22.74,24.27,28.6295,21.3953
125.3,17,22.29,87.02,739.47,13.76,23.88,13.75,21.8249,4.2024
184.4,5,25.12,87.98,737.09,7.45,17.41,22.96,31.0831,16.9522
167.4,54,25.36,50.53,734.56,4.8,14.0,20.11,30.8758,9.4954
135.1,36,22.44,62.51,733.62,5.89,43.09,14.39,21.5553,21.1684
151.5,35,24.07,67.24,733.02,13.78,1.31,20.13,12.0158,24.5119
121.1,55,23.1,30.76,745.75,5.82,38.83,13.7,45.7893,13.764
198.2,51,27.7,77.06,745.23,7.22,15.66,18.23,6.5208,11.6277
184.3,11,27.49,26.57,740.91,1.28,17.58,24.72,5.5961,44.972
185.8,25,25.29,42.84,732.64,11.61,56.16,16.12,26.9618,5.9714
139.7,68,22.16,24.02,732.66,2.62,43.06,13.76,38.5229,49.9363
136.9,33,23.31,91.04,742.74,4.8,59.62,18.87,36.6024,39.7043
162.6,56,22.9,24.83,745.41,10.91,38.95,14.43,7.6782,14.4004
187.2,39,24.31,46.44,731.72,11.18,21.22,21.1,42.7063,37.1035
190.9,17,29.71,46.99,736.96,13.73,50.58,25.55,47.848,25.5282
141.4,17,22.94,94.89,745.05,12.76,62.91,15.44,7.4669,37.6688
149.9,9,24.24,59.73,741.43,3.5,32.44,16.97,9.2399,48.8632
158.1,28,23.93,22.25,742.57,12.04,45.6,14.48,48.9635,47.3991
199.5,16,28.1,59.49,744.05,6.31,2.03,21.46,44.5707,7.8938
174.0,31,24.39,75.49,738.39,10.82,47.43,19.9,32.5555,8.6136
121.4,3,22.1,24.55,733.21,0.37,21.24,17.36,15.7702,21.252
143.4,5,20.51,50.1,743.8,0.58,33.6,15.05,37.0404,22.0161
162.8,30,28.41,31.45,738.84,4.47,54.51,20.93,48.8193,28.7211
178.9,36,27.56,66.15,731.95,4.32,32.98,20.05,44.1976,23.7956
139.5,21,21.26,23.84,730.44,13.37,19.01,18.64,3.3579,47.7063
168.1,44,26.07,36.92,743.81,2.82,24.45,20.48,0.4237,31.9533
174.8,43,26.86,85.77,741.42,11.29,54.35,24.19,27.8372,32.5253
148.9,38,23.96,92.86,738.48,4.42,6.23,14.18,34.4671,31.9021
150.4,55,26.66,68.06,741.91,6.71,34.98,21.06,34.2008,17.554
165.8,13,22.12,65.62,742.88,2.5,46.94,18.15,15.2807,40.8464
171.7,16,25.83,21.53,730.77,3.03,4.8,20.91,30.489,35.529
132.1,48,21.9,80.38,734.83,11.95,15.3,16.11,1.3739,33.9233
107.8,29,20.1,42.1,733.21,4.35,65.68,17.96,44.0973,46.1983
167.7,32,24.34,65.86,745.31,5.32,10.27,20.6,8.4552,31.5166
127.4,61,19.81,62.97,736.57,2.81,17.74,16.16,49.0909,17.6906
112.1,68,19.68,56.69,744.98,1.95,10.34,10.19,26.1725,17.193
114.6,63,20.08,58.45,737.28,10.08,16.26,12.97,25.5543,10.734
129.1,42,21.05,36.35,740.29,6.97,9.4,14.48,4.4923,45.8136
116.2,65,17.77,55.59,733.87,5.92,24.49,8.36,2.6905,4.2514
125.1,65,19.69,94.95,735.67,7.81,55.13,14.03,33.2291,21.8955
146.2,36,21.88,75.67,730.31,13.84,10.25,18.16,47.5274,35.9556
146.7,4,16.09,54.55,740.69,1.34,36.62,12.95,37.6807,33.129
158.6,0,12.73,39.26,738.64,11.44,63.26,2.87,3.0851,17.4499
103.2,47,18.23,71.13,729.31,7.59,35.84,8.7,24.7915,16.54
116.7,61,17.98,65.31,736.7,13.03,60.42,10.9,3.7214,48.688
120.5,27,18.37,72.95,733.77,4.43,17.01,12.58,49.3311,23.8328
143.7,7,21.24,82.86,737.74,8.3,51.17,14.94,29.1784,27.5233
274.7,15,14.39,56.53,736.18,12.54,60.93,12.22,41.7948,45.9922
297.7,56,17.06,79.31,730.87,3.93,47.53,9.04,2.3249,3.2721
257.0,9,16.81,30.28,729.47,1.96,64.54,9.08,27.2419,32.5722
275.9,55,14.84,89.68,741.1,3.83,52.54,12.07,42.8083,19.176
274.2,67,19.33,68.4,737.71,3.56,6.91,15.24,0.6279,35.8511
254.5,65,17.93,24.74,733.58,1.92,41.31,8.22,7.4558,40.5069
285.8,22,12.87,56.81,733.39,7.86,24.1,4.02,24.1444,36.796
319.9,51,8.17,33.3,740.21,5.95,54.66,3.53,47.5498,19.6715
311.8,7,11.7,22.35,733.87,5.18,26.29,6.65,18.3017,40.5683
291.7,44,12.32,63.19,738.2,6.72,35.71,4.64,4.5524,25.3794
300.6,27,11.95,85.75,739.7,12.52,50.29,6.01,16.6294,47.8533
316.4,37,11.58,20.07,745.49,9.21,37.7,5.35,32.6173,12.7718
357.5,2,6.54,26.21,737.1,2.95,26.05,3.97,41.1578,28.3268
296.2,69,11.53,37.29,735.31,4.29,64.88,2.15,32.1092,19.1496
322.6,56,8.18,79.08,732.33,11.3,58.96,3.01,28.1074,32.0957
325.9,45,10.27,52.23,730.94,2.92,21.41,7.55,46.3152,45.7842
311.6,20,13.22,59.66,739.77,7.78,38.43,10.24,20.7458,4.8438
317.9,60,12.07,62.78,742.09,10.24,49.49,9.78,44.4937,27.0916
304.9,61,8.64,20.23,733.69,0.81,28.81,-1.35,47.756,4.8496
343.4,65,7.92,84.87,743.27,8.64,61.72,5.06,10.949,44.9637
330.0,9,8.99,60.2,729.46,9.22,30.15,1.4,33.46,7.6763
363.7,61,5.9,32.68,732.86,1.66,3.65,-0.6,10.9568,22.7445
326.8,29,9.59,28.35,740.56,8.84,61.77,2.41,21.5692,42.7576
342.0,1,10.32,23.98,741.92,12.94,54.09,3.33,33.381,10.8926
349.4,46,6.57,89.03,744.32,11.47,42.27,-2.39,10.4209,39.4716
318.5,53,9.57,60.68,742.89,12.24,27.76,3.3,9.3024,9.6657
340.0,19,4.95,64.23,734.09,4.49,50.98,-2.94,24.3878,37.7772
323.2,65,9.55,84.68,743.06,10.91,17.73,4.24,30.1509,18.728
326.5,3,9.07,91.13,740.58,12.88,63.56,-0.85,23.0589,18.693
355.5,41,2.82,87.57,735.67,13.9,39.14,-0.75,24.1508,47.3288
245.5,34,2.74,24.2,731.3,13.45,53.82,-2.71,45.1713,29.3293
229.2,38,4.81,82.82,738.88,9.77,13.21,1.71,16.6694,41.9901
232.5,9,3.22,54.0,741.33,4.36,9.16,-6.14,43.4196,36.3236
224.2,14,6.55,46.19,734.08,6.0,8.67,3.78,28.6652,12.1397
237.6,26,3.27,87.98,729.3,8.33,23.37,-1.67,38.0397,40.9412
187.4,31,8.23,65.63,743.89,7.02,40.79,5.82,24.4119,5.8123
182.5,4,5.84,39.74,730.64,7.17,23.01,0.32,46.9163,46.1502
155.7,3,7.82,23.35,730.72,2.3,42.56,3.09,11.9971,47.3049
180.0,4,5.18,88.03,737.42,6.52,22.41,-0.1,13.1929,30.9455
186.6,4,1.43,53.13,740.12,3.81,34.86,-2.09,42.358,34.8384
180.8,1,5.14,70.07,739.55,13.66,32.11,1.76,29.9669,15.1169
176.7,0,4.54,56.43,739.68,9.36,2.76,-0.77,37.0086,1.9065
141.9,4,9.55,84.05,731.77,12.07,36.31,4.25,25.481,41.1967
164.2,0,7.41,46.18,734.72,4.16,9.04,-0.05,45.4137,27.0313
192.0,3,4.78,86.46,735.72,8.11,18.68,-2.97,28.5391,15.9332
167.5,2,5.18,48.12,745.03,6.22,5.98,-2.5,49.8875,26.0869
161.1,1,8.6,76.54,731.94,12.23,13.7,0.53,9.5503,24.7089
137.8,1,6.54,48.83,733.39,3.08,44.54,1.99,12.7473,38.0584
171.5,2,5.93,38.55,739.19,12.35,5.14,0.98,3.7806,10.0986
157.9,4,5.97,94.2,733.47,4.24,53.6,-2.48,21.039,0.4006
139.8,2,9.58,28.33,731.21,1.56,12.66,2.6,47.0436,25.0118
150.8,1,7.04,22.46,736.36,0.68,64.87,0.57,6.7258,37.8284
169.5,1,5.13,26.77,731.19,6.97,22.03,1.74,7.4878,11.2869
178.3,2,5.62,83.52,733.18,3.86,18.47,2.37,47.6412,20.3687
148.2,2,9.14,59.16,744.58,13.52,42.04,3.73,6.5139,29.0733
164.1,0,6.58,23.28,736.18,0.57,41.68,1.61,5.771,6.7908
134.0,4,7.84,50.75,730.6,6.29,31.78,2.31,16.5442,35.0482
139.6,4,9.9,53.7,741.23,11.95,28.34,7.23,38.8414,4.5674
152.2,1,8.06,70.24,731.49,7.05,7.92,5.8,35.8414,4.5168
141.5,0,7.37,83.01,737.63,3.14,41.56,-2.53,42.7187,27.7463
130.5,4,10.39,74.86,729.43,8.34,4.28,0.72,17.0371,23.557
150.2,0,9.13,31.51,736.79,6.2,1.39,1.17,31.7271,11.5652
129.1,4,10.73,69.97,743.46,9.89,21.31,4.61,18.5662,30.8247
187.3,0,6.95,41.59,744.36,6.61,62.65,-2.24,31.5334,30.3219
84.5,4,14.13,81.87,738.79,11.54,39.15,6.84,29.795,12.6241
202.2,2,5.82,65.02,731.95,11.14,65.23,-4.16,48.1975,35.6803
106.2,1,13.61,78.3,735.8,11.89,49.92,3.82,10.304,7.2025
102.5,3,14.09,63.56,743.11,3.9,35.28,11.6,42.137,33.8064
112.6,1,11.88,29.05,738.93,7.04,29.47,6.95,39.5819,21.6646
113.0,0,11.43,46.62,730.28,4.35,54.51,5.02,29.5824,45.9082
110.1,1,13.88,92.68,744.22,3.13,44.77,7.54,18.1123,0.0057
131.1,3,11.14,66.45,733.19,12.6,63.68,6.27,40.0481,42.6495
242.3,3,15.39,75.74,742.73,11.52,53.33,10.57,22.1817,15.7939
248.6,2,16.17,74.56,737.74,1.89,7.96,9.97,19.9777,42.3347
269.2,1,16.19,35.46,741.33,5.27,18.45,11.5,39.8013,17.5694
275.2,2,14.68,56.35,735.66,6.93,9.52,7.17,43.7282,0.5974
282.9,1,15.36,69.77,738.7,8.6,3.64,11.8,44.4026,34.2704
283.0,1,14.38,57.76,744.45,3.53,61.17,4.65,37.2442,18.363
230.2,38,20.16,52.23,738.3,2.16,51.26,11.75,39.6375,37.6038
239.9,5,17.51,55.82,730.02,6.27,42.02,8.46,42.3176,27.0072
254.6,60,17.69,67.41,733.95,11.19,18.8,14.09,3.4496,11.0706
217.2,62,20.19,40.54,742.71,13.25,51.26,15.72,15.4387,26.3959
241.5,3,19.81,21.43,744.01,0.44,51.46,16.29,26.7219,4.0383
230.9,29,17.13,61.66,731.11,3.59,62.92,11.96,0.4477,40.6949
247.5,11,21.39,74.58,740.36,3.27,48.01,12.8,15.5339,35.8708
256.9,67,18.28,76.69,742.4,13.23,33.39,11.3,4.4719,30.2756
245.0,64,19.96,93.82,732.34,5.63,52.38,17.22,29.0614,3.0549
